IATA,IACO,name,city,province,state,country,wiki,lat,lng
BIG,PABI,Allen Army Airfield (formerly Big Delta Army Airfield),Fort Greely, Delta Junction, Alaska, United States,http://en.wikipedia.org/wiki/Allen_Army_Airfield#,63.9945,-145.7216
DVD,,Andavadoaka Airport,Andavadoaka, Toliara province, Atsimo-Andrefana region, Madagascar,http://en.wikipedia.org/wiki/Andavadoaka_Airport#,-22.1111,43.2706
YYW,CYYW,Armstrong Airport,Armstrong, Thunder Bay District, Ontario, Canada,http://en.wikipedia.org/wiki/Armstrong_Airport#,,
BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,between Baltimore, Maryland and Washington, D.C., United States,http://en.wikipedia.org/wiki/Baltimore%E2%80%93Washington_International_Airport#,39.1754,-76.6683
BWF,EGNL,Barrow/Walney Island Airfield,Barrow-in-Furness, Cumbria, England, United Kingdom,http://en.wikipedia.org/wiki/Barrow/Walney_Island_Airfield#,,
BEJ,WALK,Berau Airport (Kalimaru Airport),Tanjung Redeb, Berau, East Kalimantan, Indonesia,http://en.wikipedia.org/wiki/Berau_Airport#,2.1533,117.4311
BHJ,VABJ,Bhuj Airport / Bhuj Rudra Mata Air Force Base,Bhuj, Kutch, Gujarat, India,0,23.2867,69.67
BIF,KBIF,Biggs Army Airfield,Fort Bliss, El Paso, Texas, United States,http://en.wikipedia.org/wiki/Biggs_Army_Airfield#,31.8495,-106.38
BBS,EGLK,Blackbushe Airport,Yateley, Hampshire, England, United Kingdom,http://en.wikipedia.org/wiki/Blackbushe_Airport#,51.3239,-0.8475
BWX,WARB,Blimbingsari Airport,Banyuwangi Regency, East Java, Java Island, Indonesia,http://en.wikipedia.org/wiki/Blimbingsari_Airport#,,
FRN,PAFR,Bryant Army Heliport / Bryant AAF,Fort Richardson, Anchorage, Alaska, United States,http://en.wikipedia.org/wiki/Bryant_Army_Heliport#,,
VCS,VVCS,Co Ong Airport,Con Son, Con Dao, Ba Ria - Vung Tau, Vietnam,http://en.wikipedia.org/wiki/Co_Ong_Airport#,8.6667,106.6333
CSA,,Colonsay Airport,Colonsay, Inner Hebrides, Scotland, United Kingdom,http://en.wikipedia.org/wiki/Colonsay_Airport#,56.059,-6.244
CVT,EGBE,Coventry Airport,Coventry, West Midlands, England, United Kingdom,http://en.wikipedia.org/wiki/Coventry_Airport#,52.3697,-1.4797
CCV,NVSF,Craig Cove Airport,Craig Cove, Ambrym Island, Malampa, Vanuatu,http://en.wikipedia.org/wiki/Craig_Cove_Airport#,-16.265,167.9244
DTD,WALJ,Datadawai Airport,Long Pahangai, West Kutai Regency, East Kalimantan, Indonesia,http://en.wikipedia.org/wiki/Datadawai_Airport#,0.717,116.483
DLY,NVVD,Dillon's Bay Airport,Dillon's Bay, Erromango, Taféa, Vanuatu,http://en.wikipedia.org/wiki/Dillon%27s_Bay_Airport#,-18.7694,169.0014
HGL,EDXH,Düne Airport (Helgoland Airport),Düne, Helgoland, Schleswig-Holstein, Germany,http://en.wikipedia.org/wiki/D%C3%BCne_Airport#,54.1853,7.9158
FUE,GCFV,El Matorral Airport,Puerto del Rosario, Fuerteventura, Canary Islands, Spain,http://en.wikipedia.org/wiki/El_Matorral_Airport#,28.4527,-13.8638
ENK,EGAB,Enniskillen/St Angelo Airport,Enniskillen, Co Fermanagh, Northern Ireland, United Kingdom,http://en.wikipedia.org/wiki/Enniskillen/St_Angelo_Airport#,54.3989,-7.6517
ERG,UIKE,Erbogachen Airport,Yerbogachen, Katangsky District, Irkutsk Oblast, Russia,http://en.wikipedia.org/wiki/Erbogachen_Airport#,,
FRE,AGGF,Fera Airport (Fera/Maringe Airport),Maringe, Fera Island, Isabel Province, Solomon Islands,http://en.wikipedia.org/wiki/Fera_Airport#,-8.1075,159.5772
KFE,YFDF,Fortescue Dave Forrest Airport,Cloudbreak,,, Australia,http://en.wikipedia.org/wiki/Fortescue_Dave_Forrest_Airport#,,
GIB,LXGB,Gibraltar Airport (North Front Airport),Gibraltar,,, Gibraltar,http://en.wikipedia.org/wiki/Gibraltar_Airport#,36.15,-5.35
HEY,KHEY,Hanchey Army Heliport,Fort Rucker, Dale County, Alabama, United States,http://en.wikipedia.org/wiki/Hanchey_Army_Heliport#,,
BTH,WIDD,Hang Nadim Airport,Batam, Riau Islands, Sumatra, Indonesia,http://en.wikipedia.org/wiki/Hang_Nadim_Airport#,1.1189,104.1142
HTF,EGTH,Hatfield Aerodrome (closed 1990s),Hatfield, Hertfordshire, England, United Kingdom,http://en.wikipedia.org/wiki/Hatfield_Aerodrome#,,
WOL,YWOL,Illawarra Regional Airport (Wollongong Airport),Shellharbour, Wollongong, New South Wales, Australia,http://en.wikipedia.org/wiki/Illawarra_Regional_Airport#,-34.5617,150.7883
IWJ,RJOW,Iwami Airport (Hagi-Iwami Airport),Masuda, Shimane, Japan, Japan,http://en.wikipedia.org/wiki/Iwami_Airport#,34.6762,131.7906
KAZ,WAMK,Kao Airport,Kao, Halmahera, North Maluku, Indonesia,http://en.wikipedia.org/w/index.php?title=Kao_Airport&action=edit&redlink=1#,1.1853,127.8961
MSE,EGMH,Kent International Airport,Manston, Kent, England, United Kingdom,http://en.wikipedia.org/wiki/Kent_International_Airport#,51.3422,1.3461
KUG,YKUB,Kubin Airport,Kubin, Moa Island, Queensland, Australia,http://en.wikipedia.org/wiki/Kubin_Airport#,-10.225,142.2183
LKK,PAKL,Kulik Lake Airport,Kulik Lake, Bristol Bay Borough, Alaska, United States,http://en.wikipedia.org/wiki/Kulik_Lake_Airport#,,
LNB,NVSM,Lamen Bay Airport,Lamen Bay, Epi Island, Shéfa Province, Vanuatu,http://en.wikipedia.org/wiki/Lamen_Bay_Airport#,-16.5842,168.1592
LEQ,EGHC,Land's End Airport,Land's End, Cornwall, England, United Kingdom,http://en.wikipedia.org/wiki/Land%27s_End_Airport#,50.1028,-5.6706
HTW,KHTW,Lawrence County Airpark,Chesapeake, Ohio / Huntington, West Virginia, United States,http://en.wikipedia.org/wiki/Lawrence_County_Airpark#,,
LSF,KLSF,Lawson Army Airfield,Fort Benning, Columbus, Georgia, United States,http://en.wikipedia.org/wiki/Lawson_Army_Airfield#,32.3383,-84.9917
LBA,EGNM,Leeds Bradford International Airport,Leeds / Bradford, West Yorkshire, England, United Kingdom,http://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport#,53.8659,-1.6606
LNI,PALN,Lonely Air Station (FAA: AK71),Lonely, North Slope Borough, Alaska, United States,http://en.wikipedia.org/wiki/Lonely_Air_Station#,,
LOD,NVSG,Longana Airport (Ambae Airport),Longana, Ambae Island, Pénama Province, Vanuatu,http://en.wikipedia.org/wiki/Longana_Airport#,-15.3067,167.9672
