IATA,IACO,name,city,province,state,country,wiki,lat,lng
YLT,CYLT,Alert Airport,Alert,, Nunavut, Canada,http://en.wikipedia.org/wiki/Alert_Airport#,82.5178,-62.2806
YEU,CYEU,Eureka Aerodrome,Eureka,, Nunavut, Canada,http://en.wikipedia.org/wiki/Eureka_Aerodrome#,79.9947,-85.8142
LYR,ENSB,"Svalbard Airport, Longyear",Longyearbyen,, Svalbard, Norway,"http://en.wikipedia.org/wiki/Svalbard_Airport,_Longyear#",78.2461,15.4656
SRK,BGSI,Siorapaluk Heliport,Siorapaluk,,, Greenland,http://en.wikipedia.org/wiki/Siorapaluk_Heliport#,77.7833,-70.7667
THU,BGTL,Thule Air Base,Pituffik,,, Greenland,http://en.wikipedia.org/wiki/Thule_Air_Base#,76.5312,-68.7032
YGZ,CYGZ,Grise Fiord Airport,Grise Fiord,, Nunavut, Canada,http://en.wikipedia.org/wiki/Grise_Fiord_Airport#,76.4261,-82.9092
SVR,BGSV,Savissivik Heliport,Savissivik,,, Greenland,http://en.wikipedia.org/wiki/Savissivik_Heliport#,76.0208,-65.0833
YRB,CYRB,Resolute Bay Airport,Resolute,, Nunavut, Canada,http://en.wikipedia.org/wiki/Resolute_Bay_Airport#,74.7169,-94.9694
KHQ,BGKQ,Kullorsuaq Heliport,Kullorsuaq,,, Greenland,http://en.wikipedia.org/wiki/Kullorsuaq_Heliport#,74.5794,-57.2353
NSQ,BGNU,Nuussuaq Heliport,Nuussuaq,,, Greenland,http://en.wikipedia.org/wiki/Nuussuaq_Heliport#,74.11,-57.065
DKS,UODD,Dikson Airport,Dikson,,, Russia,http://en.wikipedia.org/wiki/Dikson_Airport#,73.5167,80.3817
TQA,BGTA,Tasiusaq Heliport (Qaasuitsup),Tasiusaq,, Qaasuitsup, Greenland,http://en.wikipedia.org/wiki/Tasiusaq_Heliport_%28Qaasuitsup%29#,73.3731,-56.0603
IUI,BGIN,Innaarsuit Heliport,Innaarsuit,,, Greenland,http://en.wikipedia.org/wiki/Innaarsuit_Heliport#,73.1997,-56.0472
YAB,,Arctic Bay Airport (TC: CJX7),Arctic Bay,, Nunavut, Canada,http://en.wikipedia.org/wiki/Arctic_Bay_Airport#,73.0053,-85.0331
YSR,CYSR,Nanisivik Airport,Nanisivik,, Nunavut, Canada,http://en.wikipedia.org/wiki/Nanisivik_Airport#,72.9822,-84.6136
AOQ,BGAG,Aappilattoq Heliport (Qaasuitsup),Aappilattoq,, Qaasuitsup, Greenland,http://en.wikipedia.org/wiki/Aappilattoq_Heliport_%28Qaasuitsup%29#,72.8869,-55.5961
JUV,BGUK,Upernavik Airport,Upernavik,,, Greenland,http://en.wikipedia.org/wiki/Upernavik_Airport#,72.7902,-56.1306
YIO,CYIO,Pond Inlet Airport,Pond Inlet,, Nunavut, Canada,http://en.wikipedia.org/wiki/Pond_Inlet_Airport#,72.6833,-77.9667
KGQ,BGKS,Kangersuatsiaq Heliport,Kangersuatsiaq,,, Greenland,http://en.wikipedia.org/wiki/Kangersuatsiaq_Heliport#,72.38,-55.5453
YSY,CYSY,Sachs Harbour Airport,Sachs Harbour,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Sachs_Harbour_Airport#,71.9939,-125.2425
HTG,UOHH,Hatanga Airport,Khatanga,, Krasnoyarsk Krai, Russia,http://en.wikipedia.org/wiki/Hatanga_Airport#,71.9783,102.4933
IKS,UEST,Tiksi Airport,Tiksi,,, Russia,http://en.wikipedia.org/wiki/Tiksi_Airport#,71.695,128.9
JUU,BGNQ,Nuugaatsiaq Heliport,Nuugaatsiaq,,, Greenland,http://en.wikipedia.org/wiki/Nuugaatsiaq_Heliport#,71.55,-53.22
BRW,PABR,Wiley Post–Will Rogers Memorial Airport,Barrow,, Alaska, United States,http://en.wikipedia.org/wiki/Wiley_Post%E2%80%93Will_Rogers_Memorial_Airport#,71.2854,-156.766
JUK,BGUT,Ukkusissat Heliport,Ukkusissat,,, Greenland,http://en.wikipedia.org/wiki/Ukkusissat_Heliport#,71.0553,-51.8833
MEH,ENMH,Mehamn Airport,Mehamn,,, Norway,http://en.wikipedia.org/wiki/Mehamn_Airport#,71.0297,27.8267
HVG,ENHV,"Honningsvåg Airport, Valan",Nordkapp,, Finnmark, Norway,"http://en.wikipedia.org/wiki/Honningsv%C3%A5g_Airport,_Valan#",71.0097,25.9836
BVG,ENBV,Berlevåg Airport,Berlevåg,,, Norway,http://en.wikipedia.org/wiki/Berlev%C3%A5g_Airport#,70.8714,29.0342
SAE,BGST,Saattut Heliport,Saattut,,, Greenland,http://en.wikipedia.org/wiki/Saattut_Heliport#,70.8117,-51.6333
NIQ,BGNT,Niaqornat Heliport,Niaqornat,,, Greenland,http://en.wikipedia.org/wiki/Niaqornat_Heliport#,70.7917,-53.6667
YHI,CYHI,Ulukhaktok/Holman Airport,Ulukhaktok,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Ulukhaktok/Holman_Airport#,70.7628,-117.8061
CNP,BGCO,Nerlerit Inaat Airport (Constable Pynt Airport),Nerlerit Inaat (Constable Pynt),,, Greenland,http://en.wikipedia.org/wiki/Nerlerit_Inaat_Airport#,70.7433,-22.6606
JQA,BGUQ,Qaarsut Airport (Uummannaq Airport),Qaarsut / Uummannaq,,, Greenland,http://en.wikipedia.org/wiki/Qaarsut_Airport#,70.7342,-52.6962
UMD,BGUM,Uummannaq Heliport,Uummannaq,,, Greenland,http://en.wikipedia.org/wiki/Uummannaq_Heliport#,70.6797,-52.1172
HFT,ENHF,Hammerfest Airport,Hammerfest,, Finnmark, Norway,http://en.wikipedia.org/wiki/Hammerfest_Airport#,70.6797,23.6686
AIN,PAWI,Wainwright Airport (FAA: AWI),Fort Wainwright,, Alaska, United States,http://en.wikipedia.org/wiki/Wainwright_Airport_%28Alaska%29#,70.638,-159.9948
CKH,UESO,Chokurdah Airport,Chokurdakh,,, Russia,http://en.wikipedia.org/wiki/Chokurdah_Airport#,70.625,147.8967
BJF,ENBS,Båtsfjord Airport,Båtsfjord,, Finnmark, Norway,http://en.wikipedia.org/wiki/B%C3%A5tsfjord_Airport#,70.6003,29.6925
IKE,BGIA,Ikerasak Heliport,Ikerasak,,, Greenland,http://en.wikipedia.org/wiki/Ikerasak_Heliport#,70.4956,-51.3031
HAA,ENHK,Hasvik Airport,Hasvik,,, Norway,http://en.wikipedia.org/wiki/Hasvik_Airport#,70.4867,22.1397
YCY,CYCY,Clyde River Airport,Clyde River,, Nunavut, Canada,http://en.wikipedia.org/wiki/Clyde_River_Airport#,70.4861,-68.5167
OBY,BGSC,Ittoqqortoormiit Heliport,Ittoqqortoormiit,,, Greenland,http://en.wikipedia.org/wiki/Ittoqqortoormiit_Heliport#,70.485,-21.9806
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport,Atqasuk,, Alaska, United States,http://en.wikipedia.org/wiki/Atqasuk_Edward_Burnell_Sr._Memorial_Airport#,70.4673,-157.4357
VAW,ENSS,"Vardø Airport, Svartnes",Vardø,,, Norway,"http://en.wikipedia.org/wiki/Vard%C3%B8_Airport,_Svartnes#",70.3554,31.0449
NUI,PAQT,Nuiqsut Airport (FAA: AQT),Nuiqsut,, Alaska, United States,http://en.wikipedia.org/wiki/Nuiqsut_Airport#,70.21,-151.0055
SCC,PASC,Deadhorse Airport,Deadhorse,, Alaska, United States,http://en.wikipedia.org/wiki/Deadhorse_Airport#,70.1948,-148.4652
YPD,,Parry Sound Area Municipal Airport (TC: CNK4),Parry Sound,, Ontario, Canada,http://en.wikipedia.org/wiki/Parry_Sound_Area_Municipal_Airport#,70.1678,-124.6914
BTI,PABA,Barter Island LRRS Airport,Barter Island,, Alaska, United States,http://en.wikipedia.org/wiki/Barter_Island_LRRS_Airport#,70.134,-143.5819
LKL,ENNA,"Lakselv Airport, Banak",Lakselv,,, Norway,"http://en.wikipedia.org/wiki/Lakselv_Airport,_Banak#",70.0667,24.9739
VDS,ENVD,Vadsø Airport,Vadsø,, Finnmark, Norway,http://en.wikipedia.org/wiki/Vads%C3%B8_Airport#,70.0653,29.8447
PQT,BGQE,Qeqertaq Heliport,Qeqertaq,,, Greenland,http://en.wikipedia.org/wiki/Qeqertaq_Heliport#,70,-51.2831
ALF,ENAT,Alta Airport,Alta,,, Norway,http://en.wikipedia.org/wiki/Alta_Airport#,69.9761,23.3717
SOJ,ENSR,Sørkjosen Airport,Sørkjosen,,, Norway,http://en.wikipedia.org/wiki/S%C3%B8rkjosen_Airport#,69.7901,20.9549
PWE,UHMP,Pevek Airport,Pevek,,, Russia,http://en.wikipedia.org/wiki/Pevek_Airport#,69.7833,170.595
AMV,ULDD,Amderma Airport,Amderma,,, Russia,http://en.wikipedia.org/wiki/Amderma_Airport#,69.7633,61.5633
PIZ,PPIZ,Point Lay LRRS Airport,Point Lay,, Alaska, United States,http://en.wikipedia.org/wiki/Point_Lay_LRRS_Airport#,69.7329,-163.0053
KKN,ENKR,"Kirkenes Airport, Høybuktmoen",Kirkenes,, Finnmark, Norway,"http://en.wikipedia.org/wiki/Kirkenes_Airport,_H%C3%B8ybuktmoen#",69.7251,29.8877
TOS,ENTC,Tromsø Airport,Tromsø,,, Norway,http://en.wikipedia.org/wiki/Troms%C3%B8_Airport#,69.6814,18.9178
YYH,CYYH,Taloyoak Airport,Taloyoak,, Nunavut, Canada,http://en.wikipedia.org/wiki/Taloyoak_Airport#,69.5467,-93.5767
YUB,CYUB,Tuktoyaktuk/James Gruben Airport,Tuktoyaktuk,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Tuktoyaktuk/James_Gruben_Airport#,69.4333,-133.0264
YGT,CYGT,Igloolik Airport,Igloolik,, Nunavut, Canada,http://en.wikipedia.org/wiki/Igloolik_Airport#,69.3647,-81.8161
YPC,CYPC,Paulatuk Airport,Paulatuk,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Paulatuk_Airport#,69.3611,-124.0753
NSK,UOOO,Norilsk Alykel Airport,Norilsk,,, Russia,http://en.wikipedia.org/wiki/Norilsk_Alykel_Airport#,69.31,87.3333
ANX,ENAN,"Andøya Airport, Andenes",Andenes,,, Norway,"http://en.wikipedia.org/wiki/And%C3%B8ya_Airport,_Andenes#",69.2925,16.1442
JGO,BGGN,Qeqertarsuaq Heliport,Qeqertarsuaq,,, Greenland,http://en.wikipedia.org/wiki/Qeqertarsuaq_Heliport#,69.2511,-53.5381
JAV,BGJN,Ilulissat Airport,Ilulissat,,, Greenland,http://en.wikipedia.org/wiki/Ilulissat_Airport#,69.2432,-51.0571
YCB,CYCB,Cambridge Bay Airport,Cambridge Bay,, Nunavut, Canada,http://en.wikipedia.org/wiki/Cambridge_Bay_Airport#,69.1081,-105.1383
BDU,ENDU,Bardufoss Airport,Bardufoss,,, Norway,http://en.wikipedia.org/wiki/Bardufoss_Airport#,69.0558,18.5403
LUR,PALU,Cape Lisburne LRRS Airport,Cape Lisburne,, Alaska, United States,http://en.wikipedia.org/wiki/Cape_Lisburne_LRRS_Airport#,68.8752,-166.11
QJE,BGKT,Kitsissuarsuit Heliport,Kitsissuarsuit,,, Greenland,http://en.wikipedia.org/wiki/Kitsissuarsuit_Heliport#,68.8567,-53.125
JCH,BGCH,Qasigiannguit Heliport,Qasigiannguit,,, Greenland,http://en.wikipedia.org/wiki/Qasigiannguit_Heliport#,68.8172,-51.1747
MMK,ULMM,Murmansk Airport,Murmansk,,, Russia,http://en.wikipedia.org/wiki/Murmansk_Airport#,68.7817,32.7467
YUX,CYUX,Hall Beach Airport,Hall Beach,, Nunavut, Canada,http://en.wikipedia.org/wiki/Hall_Beach_Airport#,68.7761,-81.2436
CYX,UESS,Chersky Airport,Chersky,, Yakutia, Russia,http://en.wikipedia.org/wiki/Chersky_Airport#,68.7433,161.3367
JEG,BGAA,Aasiaat Airport,Aasiaat,,, Greenland,http://en.wikipedia.org/wiki/Aasiaat_Airport#,68.7218,-52.7847
YHK,CYHK,Gjoa Haven Airport,Gjoa Haven,, Nunavut, Canada,http://en.wikipedia.org/wiki/Gjoa_Haven_Airport#,68.6356,-95.8503
QJI,BGIT,Ikamiut Heliport,Ikamiut,,, Greenland,http://en.wikipedia.org/wiki/Ikamiut_Heliport#,68.6322,-51.8336
IVL,EFIV,Ivalo Airport,Ivalo,,, Finland,http://en.wikipedia.org/wiki/Ivalo_Airport#,68.6108,27.4139
SKN,ENSK,"Stokmarknes Airport, Skagen",Hadsel,, Nordland, Norway,"http://en.wikipedia.org/wiki/Stokmarknes_Airport,_Skagen#",68.5808,15.0261
YBB,CYBB,Kugaaruk Airport,Kugaaruk,, Nunavut, Canada,http://en.wikipedia.org/wiki/Kugaaruk_Airport#,68.5344,-89.8081
EVE,ENEV,"Harstad/Narvik Airport, Evenes",Evenes,,, Norway,"http://en.wikipedia.org/wiki/Harstad/Narvik_Airport,_Evenes#",68.4889,16.6783
NVK,ENNK,"Narvik Airport, Framnes",Narvik,, Nordland, Norway,"http://en.wikipedia.org/wiki/Narvik_Airport,_Framnes#",68.4369,17.3867
ENF,EFET,Enontekiö Airport,Enontekiö,,, Finland,http://en.wikipedia.org/wiki/Enonteki%C3%B6_Airport#,68.3644,23.4275
PHO,PAPO,Point Hope Airport,Point Hope,, Alaska, United States,http://en.wikipedia.org/wiki/Point_Hope_Airport#,68.3488,-166.7994
YEV,CYEV,Inuvik (Mike Zubko) Airport,Inuvik,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Inuvik_%28Mike_Zubko%29_Airport#,68.3042,-133.4828
QMK,BGNK,Niaqornaarsuk Heliport,Niaqornaarsuk,,, Greenland,http://en.wikipedia.org/wiki/Niaqornaarsuk_Heliport#,68.2483,-52.88
SVJ,ENSH,"Svolvær Airport, Helle",Svolvær,,, Norway,"http://en.wikipedia.org/wiki/Svolv%C3%A6r_Airport,_Helle#",68.2433,14.6692
LAK,CYKD,Aklavik Airport,Aklavik,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Aklavik_Airport#,68.2233,-135.0058
LKN,ENLK,Leknes Airport,Leknes,,, Norway,http://en.wikipedia.org/wiki/Leknes_Airport#,68.1525,13.6094
QRY,BGIK,Ikerasaarsuk Heliport,Ikerasaarsuk,,, Greenland,http://en.wikipedia.org/wiki/Ikerasaarsuk_Heliport#,68.15,-53.45
AKP,PAKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,, Alaska, United States,http://en.wikipedia.org/wiki/Anaktuvuk_Pass_Airport#,68.1336,-151.7433
ARC,PARC,Arctic Village Airport,Arctic Village,, Alaska, United States,http://en.wikipedia.org/wiki/Arctic_Village_Airport#,68.1147,-145.5794
QGQ,BGAT,Attu Heliport,Attu Island,,, Greenland,http://en.wikipedia.org/wiki/Attu_Heliport#,67.9406,-53.6228
KRN,ESNQ,Kiruna Airport,Kiruna,,, Sweden,http://en.wikipedia.org/wiki/Kiruna_Airport#,67.8214,20.3356
YCO,CYCO,Kugluktuk Airport,Kugluktuk,, Nunavut, Canada,http://en.wikipedia.org/wiki/Kugluktuk_Airport#,67.8167,-115.1439
KVL,PAVL,Kivalina Airport,Kivalina,, Alaska, United States,http://en.wikipedia.org/wiki/Kivalina_Airport#,67.7362,-164.5635
KTT,EFKT,Kittilä Airport,Kittilä,,, Finland,http://en.wikipedia.org/wiki/Kittil%C3%A4_Airport#,67.6986,24.8481
VRY,ENVR,Værøy Heliport,Værøy,, Nordland, Norway,http://en.wikipedia.org/wiki/V%C3%A6r%C3%B8y_Heliport#,67.6894,12.6819
NNM,ULAM,Naryan-Mar Airport,Naryan-Mar,, Nenets Autonomous Okrug, Russia,http://en.wikipedia.org/wiki/Naryan-Mar_Airport#,67.64,53.125
KVK,ULMK,Kirovsk Airport (Khibiny Airport),Kirovsk / Apatity,, Murmansk Oblast, Russia,http://en.wikipedia.org/wiki/Kirovsk_Airport#,67.5756,33.5828
YOC,CYOC,Old Crow Airport,Old Crow,, Yukon, Canada,http://en.wikipedia.org/wiki/Old_Crow_Airport#,67.5706,-139.8392
WTK,PAWN,Noatak Airport,Noatak,, Alaska, United States,http://en.wikipedia.org/wiki/Noatak_Airport#,67.5611,-162.9804
YVM,CYVM,Qikiqtarjuaq Airport,Qikiqtarjuaq,, Nunavut, Canada,http://en.wikipedia.org/wiki/Qikiqtarjuaq_Airport#,67.5458,-64.0314
RET,ENRS,Røst Airport,Røst,, Nordland, Norway,http://en.wikipedia.org/wiki/R%C3%B8st_Airport#,67.5278,12.1033
VKT,UUYW,Vorkuta Airport,Vorkuta,,, Russia,http://en.wikipedia.org/wiki/Vorkuta_Airport#,67.4883,63.9917
IAA,UOII,Igarka Airport,Igarka,,, Russia,http://en.wikipedia.org/wiki/Igarka_Airport#,67.4417,86.6233
ZFM,CZFM,Fort McPherson Airport,Fort McPherson,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Fort_McPherson_Airport#,67.4075,-134.8606
BOO,ENBO,Bodø Airport,Bodø,,, Norway,http://en.wikipedia.org/wiki/Bod%C3%B8_Airport#,67.2692,14.3653
CXF,PACX,Coldfoot Airport,Coldfoot,, Alaska, United States,http://en.wikipedia.org/wiki/Coldfoot_Airport#,67.2522,-150.2039
PJA,ESUP,Pajala Airport,Pajala,,, Sweden,http://en.wikipedia.org/wiki/Pajala_Airport#,67.2458,23.0689
GEV,ESNG,Gällivare Airport,Gällivare,,, Sweden,http://en.wikipedia.org/wiki/G%C3%A4llivare_Airport#,67.1331,20.8122
ABL,PAFM,Ambler Airport (FAA: AFM),Ambler,, Alaska, United States,http://en.wikipedia.org/wiki/Ambler_Airport#,67.1063,-157.8575
YCK,,Colville Lake/Tommy Kochon Aerodrome (TC: CEB3),Colville Lake,, Northwest Territories, Canada,http://en.wikipedia.org/wiki/Colville_Lake/Tommy_Kochon_Aerodrome#,67.033,-126.083
SFJ,BGSF,Kangerlussuaq Airport,Kangerlussuaq,,, Greenland,http://en.wikipedia.org/wiki/Kangerlussuaq_Airport#,67.017,-50.6893
VEE,PAVE,Venetie Airport,Venetie,, Alaska, United States,http://en.wikipedia.org/wiki/Venetie_Airport#,67.0087,-146.3664
IAN,PAIK,Bob Baker Memorial Airport,Kiana,, Alaska, United States,http://en.wikipedia.org/wiki/Bob_Baker_Memorial_Airport#,66.976,-160.4365
JHS,BGSS,Sisimiut Airport,Sisimiut,,, Greenland,http://en.wikipedia.org/wiki/Sisimiut_Airport#,66.9513,-53.7293
BTT,PABT,Bettles Airport,Bettles,, Alaska, United States,http://en.wikipedia.org/wiki/Bettles_Airport#,66.9139,-151.529
OBU,,Kobuk Airport,Kobuk,, Alaska, United States,http://en.wikipedia.org/wiki/Kobuk_Airport#,66.9123,-156.8973
SHG,PAHG,Shungnak Airport,Shungnak,, Alaska, United States,http://en.wikipedia.org/wiki/Shungnak_Airport#,66.8881,-157.1624
OTZ,PAOT,Ralph Wien Memorial Airport,Kotzebue,, Alaska, United States,http://en.wikipedia.org/wiki/Ralph_Wien_Memorial_Airport#,66.8847,-162.5985
ORV,PFNO,Robert (Bob) Curtis Memorial Airport (FAA: D76),Noorvik,, Alaska, United States,http://en.wikipedia.org/wiki/Robert_%28Bob%29_Curtis_Memorial_Airport#,66.8175,-161.0223
CFF,FNCF,Cafunfo Airport,Cafunfo,,, Angola,http://en.wikipedia.org/wiki/Cafunfo_Airport#,66.7031,-119.7072
CIK,PACI,Chalkyitsik Airport,Chalkyitsik,, Alaska, United States,http://en.wikipedia.org/wiki/Chalkyitsik_Airport#,66.645,-143.7399
WLK,PASK,Selawik Airport,Selawik,, Alaska, United States,http://en.wikipedia.org/wiki/Selawik_Airport#,66.6001,-159.9858
SLY,USDD,Salekhard Airport,Salekhard,,, Russia,http://en.wikipedia.org/wiki/Salekhard_Airport#,66.59,66.61
FYU,PFYU,Fort Yukon Airport,Fort Yukon,, Alaska, United States,http://en.wikipedia.org/wiki/Fort_Yukon_Airport#,66.5715,-145.2504
RVN,EFRO,Rovaniemi Airport,Rovaniemi,,, Finland,http://en.wikipedia.org/wiki/Rovaniemi_Airport#,66.5617,25.8308
GRY,BIGR,Grímsey Airport,Grímsey,,, Iceland,http://en.wikipedia.org/wiki/Gr%C3%ADmsey_Airport#,66.5547,-18.0175
AET,PFAL,Allakaket Airport (FAA: 6A8),Allakaket,, Alaska, United States,http://en.wikipedia.org/wiki/Allakaket_Airport#,66.5518,-152.6222
YUT,CYUT,Repulse Bay Airport,Repulse Bay,, Nunavut, Canada,http://en.wikipedia.org/wiki/Repulse_Bay_Airport#,66.5214,-86.2247
PYJ,UERP,Polyarny Airport,Polyarny,, Yakutia, Russia,http://en.wikipedia.org/wiki/Polyarny_Airport#,66.4,112.0333
WBQ,PAWB,Beaver Airport,Beaver,, Alaska, United States,http://en.wikipedia.org/wiki/Beaver_Airport#,66.3622,-147.4065
KBC,,Birch Creek Airport (FAA: Z91),Birch Creek,, Alaska, United States,http://en.wikipedia.org/wiki/Birch_Creek_Airport#,66.274,-145.824
